epoch,accuracy,loss,val_accuracy,val_loss
0,0.8437564969062805,0.210438534617424,0.9567677974700928,0.08137897402048111
1,0.9819501638412476,0.050025708973407745,0.9881206750869751,0.033275265246629715
2,0.9884577989578247,0.02756166085600853,0.9886943101882935,0.023600684478878975
3,0.9891334176063538,0.021669089794158936,0.9895293116569519,0.020016120746731758
4,0.9896799325942993,0.019081730395555496,0.9898151159286499,0.018118781968951225
5,0.989810585975647,0.017548298463225365,0.9898743033409119,0.016861554235219955
6,0.9898639917373657,0.01645231619477272,0.9899131059646606,0.015900619328022003
7,0.9898775815963745,0.015573783777654171,0.9899232983589172,0.015099696815013885
8,0.9898884892463684,0.014821634627878666,0.9899294376373291,0.01439974270761013
9,0.9898952841758728,0.014154545962810516,0.989935576915741,0.013770952820777893
10,0.9899007081985474,0.013549648225307465,0.9899376034736633,0.013195102103054523
11,0.989902913570404,0.012991511262953281,0.9899376034736633,0.012659747153520584
12,0.989903450012207,0.012469732202589512,0.9899416565895081,0.012156372889876366
13,0.989905059337616,0.011977515183389187,0.9899437427520752,0.011679577641189098
14,0.9899088740348816,0.011510632932186127,0.9899600744247437,0.011226823553442955
15,0.9904358386993408,0.011067413724958897,0.9911134839057922,0.010796862654387951
16,0.9916751384735107,0.010646727867424488,0.9919341206550598,0.010388711467385292
17,0.9922181963920593,0.010247684083878994,0.9926792979240417,0.010001339949667454
18,0.992825448513031,0.009869077242910862,0.9928140044212341,0.009633468464016914
19,0.9929501414299011,0.009509135037660599,0.9929630756378174,0.009283564053475857
20,0.9931142330169678,0.009166887030005455,0.9931712746620178,0.008950651623308659
21,0.9933127164840698,0.008841216564178467,0.993391752243042,0.008633925579488277
22,0.9935770034790039,0.008531434461474419,0.9937020540237427,0.008332858793437481
23,0.9941992163658142,0.008237491361796856,0.9943287968635559,0.008047586306929588
24,0.9943758845329285,0.007959161885082722,0.9944390058517456,0.007777942344546318
25,0.9945024847984314,0.007696695625782013,0.9945166110992432,0.007524180691689253
26,0.9945846796035767,0.007450144737958908,0.9946146011352539,0.007286208216100931
27,0.9947245717048645,0.007219243794679642,0.9948412179946899,0.007063560653477907
28,0.9950049519538879,0.007003441918641329,0.9953005313873291,0.006855667103081942
29,0.9954665899276733,0.006801995448768139,0.9956353306770325,0.006661656778305769
30,0.9957700967788696,0.006614205427467823,0.9961599707603455,0.006480892188847065
31,0.9967559576034546,0.006439288146793842,0.9972889423370361,0.0063124182634055614
32,0.9972832202911377,0.006276408676058054,0.9973849058151245,0.0061555164866149426
33,0.9973512887954712,0.006124638486653566,0.9974359273910522,0.006009320262819529
34,0.9974517226219177,0.005983256734907627,0.9976237416267395,0.005872975569218397
35,0.9975807070732117,0.005851396359503269,0.9976502656936646,0.005745712202042341
36,0.9976117610931396,0.00572834350168705,0.9976849555969238,0.005626831203699112
37,0.9976329803466797,0.005613292567431927,0.997713565826416,0.005515619181096554
38,0.9976503849029541,0.00550560699775815,0.9977400898933411,0.005411351099610329
39,0.9976708292961121,0.005404698196798563,0.9977666139602661,0.00531352125108242
40,0.9976866245269775,0.005309984553605318,0.9977768659591675,0.005221586674451828
41,0.9977118968963623,0.005220893304795027,0.9977952241897583,0.005135056097060442
42,0.9977519512176514,0.005137152969837189,0.9978156089782715,0.0050535802729427814
43,0.9977856874465942,0.00505824526771903,0.9978707432746887,0.00497670890763402
44,0.997852623462677,0.004983792547136545,0.9978993535041809,0.004904137924313545
45,0.9978956580162048,0.004913557320833206,0.9979197382926941,0.004835533443838358
46,0.9979040622711182,0.004847119562327862,0.9979340434074402,0.004770618863403797
47,0.9979193210601807,0.004784242250025272,0.9979503750801086,0.004709002561867237
48,0.997934877872467,0.004724516067653894,0.9979687333106995,0.004650475457310677
49,0.9979506134986877,0.004667853470891714,0.9979810118675232,0.004594828933477402
