epoch,loss,val_loss
0,0.04589502885937691,0.04933025687932968
1,0.04596780613064766,0.04733115807175636
2,0.04627019912004471,0.0473347082734108
3,0.04584328830242157,0.04848381504416466
4,0.045813851058483124,0.04760119318962097
5,0.04583877697587013,0.0500292032957077
6,0.046075183898210526,0.04874229058623314
7,0.04572801664471626,0.04770719259977341
8,0.04609405994415283,0.04811767488718033
9,0.04574282839894295,0.048225123435258865
10,0.046017177402973175,0.04793109372258186
11,0.045804254710674286,0.047628872096538544
12,0.04584786668419838,0.04732518270611763
13,0.045972224324941635,0.047411274164915085
