epoch,loss,val_loss
0,0.05461083725094795,0.05278175696730614
1,0.052578698843717575,0.051253363490104675
2,0.04838724434375763,0.0490165613591671
3,0.0454622358083725,0.04382733628153801
4,0.04306606575846672,0.04307409003376961
5,0.04246697202324867,0.04202521592378616
6,0.042024292051792145,0.04195689409971237
7,0.04195869341492653,0.04171775281429291
8,0.04172623157501221,0.04185529798269272
9,0.04150194302201271,0.04125788435339928
10,0.04131927713751793,0.04124872758984566
11,0.041356027126312256,0.04171956703066826
12,0.04111842066049576,0.04115838184952736
13,0.041016753762960434,0.04139256104826927
14,0.04088617488741875,0.0410672090947628
15,0.040827494114637375,0.04124705493450165
16,0.04165589436888695,0.04142250120639801
17,0.04135938361287117,0.04270590841770172
18,0.041199423372745514,0.04318173974752426
19,0.04114562273025513,0.04096481204032898
20,0.04091072455048561,0.04296606779098511
21,0.04074591398239136,0.04094044864177704
22,0.040609247982501984,0.041001953184604645
23,0.04067830368876457,0.04064660519361496
24,0.04027015343308449,0.04053191468119621
