epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7023677825927734,0.9164391756057739,0.001,0.8766114115715027,0.4898762106895447
1,0.8844313621520996,0.39712589979171753,0.001,0.9023941159248352,0.36687055230140686
2,0.9265120625495911,0.2639126479625702,0.001,0.9244935512542725,0.3002377450466156
3,0.9419702887535095,0.2087157517671585,0.001,0.9355432987213135,0.21150775253772736
4,0.9496994018554688,0.16756868362426758,0.001,0.9355432987213135,0.20759117603302002
5,0.9595141410827637,0.1462312489748001,0.001,0.9383057355880737,0.2101258635520935
6,0.9618451595306396,0.1289362758398056,0.001,0.958563506603241,0.164090096950531
7,0.9711691737174988,0.09706073999404907,0.001,0.9244935512542725,0.24328669905662537
8,0.9728867411613464,0.08890999108552933,0.001,0.9539594650268555,0.17802810668945312
9,0.9757084846496582,0.07849859446287155,0.001,0.9567219018936157,0.21153950691223145
10,0.9775487780570984,0.06943610310554504,0.001,0.9558011293411255,0.18706052005290985
11,0.9782848954200745,0.06981783360242844,0.001,0.9567219018936157,0.1720220446586609
12,0.9781621694564819,0.07761132717132568,0.001,0.9475138187408447,0.21580253541469574
13,0.973009467124939,0.08062726259231567,0.001,0.9640883803367615,0.1553587168455124
14,0.9829468727111816,0.05444873869419098,0.001,0.9530386924743652,0.23796290159225464
15,0.9863820672035217,0.041256383061409,0.001,0.9677716493606567,0.18021127581596375
16,0.9903079271316528,0.031673870980739594,0.001,0.9622467756271362,0.17611093819141388
17,0.9904305934906006,0.0310793649405241,0.001,0.9677716493606567,0.1680026799440384
18,0.986750066280365,0.0385173074901104,0.001,0.9631676077842712,0.21286804974079132
19,0.9933750629425049,0.01763494312763214,1e-04,0.968692421913147,0.1951380968093872
20,0.9970555901527405,0.008819539099931717,1e-04,0.970534086227417,0.20113885402679443
21,0.9980370402336121,0.007120869122445583,1e-04,0.970534086227417,0.20967479050159454
22,0.9980370402336121,0.005871036555618048,1e-04,0.9723756909370422,0.21732178330421448
23,0.9984050989151001,0.005436657462269068,1e-04,0.9714548587799072,0.2263931930065155
24,0.9980370402336121,0.005342088174074888,1e-04,0.969613254070282,0.2352222204208374
