epoch,accuracy,loss,val_accuracy,val_loss
0,0.9980075359344482,0.006931261625140905,0.9984586834907532,0.00456925667822361
1,0.9983640909194946,0.005135456565767527,0.9979768991470337,0.01283320877701044
2,0.9983463883399963,0.005289153195917606,0.9984280467033386,0.004627031274139881
3,0.9983951449394226,0.005450359545648098,0.9986036419868469,0.004657212644815445
4,0.9983921647071838,0.005284695420414209,0.9985281229019165,0.004922213964164257
5,0.998370885848999,0.005397961474955082,0.998550534248352,0.004276856314390898
6,0.9983859062194824,0.005576248746365309,0.9981014132499695,0.0061542317271232605
7,0.9983749985694885,0.005421855021268129,0.9986118078231812,0.0043289149180054665
8,0.9983630180358887,0.0058482312597334385,0.9985668659210205,0.004908091854304075
9,0.9983727931976318,0.005592069588601589,0.9984688758850098,0.004152276553213596
10,0.9983698129653931,0.005753968842327595,0.9985342025756836,0.004294462036341429
11,0.998274564743042,0.006236185319721699,0.9983463883399963,0.005768128205090761
12,0.9982304573059082,0.006788179744035006,0.9984239935874939,0.0054940409027040005
13,0.9982933402061462,0.006695092190057039,0.9984260201454163,0.008080299012362957
14,0.9982650279998779,0.006616827566176653,0.998511791229248,0.006313749589025974
15,0.9981874227523804,0.00725285429507494,0.9984709620475769,0.005851211026310921
16,0.9981046915054321,0.007353905122727156,0.9971337914466858,0.010157420299947262
17,0.9981798529624939,0.006994713097810745,0.9984729886054993,0.006656367797404528
18,0.9980998039245605,0.007141781505197287,0.9973011612892151,0.00858389027416706
19,0.9981305599212646,0.006969068199396133,0.9982770085334778,0.006206153426319361
