epoch,loss,val_loss
0,0.010714849457144737,0.007496347650885582
1,0.007430375553667545,0.00737158115953207
2,0.007207147777080536,0.006778711918741465
3,0.0067909774370491505,0.006701665930449963
4,0.006731752771884203,0.006673017516732216
5,0.0066597904078662395,0.006612950004637241
6,0.00658304151147604,0.006543952506035566
7,0.006558308377861977,0.006579400040209293
8,0.006540349218994379,0.0065025161020457745
9,0.006525019649416208,0.006483104545623064
10,0.006511415354907513,0.006475621368736029
11,0.0065036010928452015,0.00645087705925107
12,0.006497054826468229,0.006503493990749121
13,0.006491635926067829,0.006472777109593153
14,0.006486591883003712,0.0064296904020011425
15,0.006481122691184282,0.006470904685556889
16,0.006476841401308775,0.0064370594918727875
17,0.006472311448305845,0.006440061144530773
18,0.006467549595981836,0.006416244897991419
19,0.006454044487327337,0.006389359477907419
20,0.006416741758584976,0.006357582286000252
21,0.006400874815881252,0.006351415533572435
22,0.006392447277903557,0.006350542418658733
23,0.006385690998286009,0.006359258200973272
24,0.006380699574947357,0.006348141934722662
25,0.006338505074381828,0.0062877582386136055
26,0.006288093980401754,0.006265026982873678
27,0.006273123901337385,0.00621654000133276
28,0.006263162475079298,0.006236396264284849
29,0.006253416184335947,0.006223426200449467
